empresa;sector
Acciona;Construction & Engineering
Acciona Energías;Energy Equipment & Services
Acerinox;Metals and mining
ACS;Construction & Engineering
Aena;Airlines
Amadeus;Electronic Equipent, Instruments & Components
ArcelorMittal;Metals and mining
Banco Sabadell;Banks
Banco Santander;Banks
Bankinter;Banks
BBVA;Banks
CaixaBank;Banks
Cellnex;Telecommunication
Colonial;Real Estate
Enagas;Energy Equipment & Services
Endesa;Energy Equipment & Services
Ferrovial;Construction & Engineering
Fluidra;Construction and engineering
Grifols;Pharmaceuticals
IAG;Airlines
Iberdrola;Energy Equipment & Services
Indra;Electronic Equipent, Instruments & Components
Inditex;Textiles
Mapfre;Insurance
Melia;Hotels
Merlin Properties;Real Estate
Naturgy;Energy Equipment & Services
Pharmamar;Pharmaceuticals
Red Eléctrica;Energy Equipment & Services
Repsol;Oil and gas refining
Rovi;Pharmaceuticals
Sacyr;Construction & Engineering
Siemens Gamesa;Energy Equipment & Services
Solaria;Energy Equipment & Services
Telefonica;Telecommunication